Year_Group,continent,Region,Population,Season,Climate,nb_medals,PIB_per_Capita
1945-1990,Asia,Pakistan,73965481.5483871,Summer,Moderate climate (5 C-25 C),40.5,1450.7890909090909
1945-1990,North America,Panama,1750688.4193548388,Summer,Hot climate (>25 C),9.11111111111111,4649.350909090909
1945-1990,Oceania,Papua New Guinea,2851980.2258064514,Summer,Moderate climate (5 C-25 C),12.0,1345.129090909091
1945-1990,South America,Paraguay,2789262.2258064514,Summer,Moderate climate (5 C-25 C),8.2,4425.932727272728
1945-1990,South America,Peru,15618747.516129032,Summer,Moderate climate (5 C-25 C),31.8,3585.953636363636
1945-1990,Asia,Philippines,43510511.29032258,Summer,Hot climate (>25 C),49.0,2266.004545454545
1945-1990,Asia,Philippines,43510511.29032258,Winter,Hot climate (>25 C),2.5,2266.004545454545
1945-1990,Europe,Poland,34126851.03225806,Summer,Moderate climate (5 C-25 C),257.5,5640.627272727273
1945-1990,Europe,Poland,34126851.03225806,Winter,Moderate climate (5 C-25 C),55.36363636363637,5640.627272727273
1945-1990,Europe,Portugal,9331919.258064516,Summer,Moderate climate (5 C-25 C),58.09090909090909,8806.59909090909
1945-1990,Europe,Portugal,9331919.258064516,Winter,Moderate climate (5 C-25 C),4.5,8806.59909090909
1945-1990,North America,Puerto Rico,2972367.4838709678,Summer,Hot climate (>25 C),46.18181818181818,9720.514545454545
1945-1990,North America,Puerto Rico,2972367.4838709678,Winter,Hot climate (>25 C),9.0,9720.514545454545
1945-1990,Asia,Qatar,209109.2258064516,Summer,Hot climate (>25 C),19.5,71065.44909090908
1945-1990,Europe,Romania,21064566.48387097,Summer,Moderate climate (5 C-25 C),204.9,7070.647272727272
1945-1990,Europe,Romania,21064566.48387097,Winter,Moderate climate (5 C-25 C),31.4,7070.647272727272
1945-1990,Africa,Rwanda,4819585.0,Summer,Moderate climate (5 C-25 C),7.0,522.4686363636364
1945-1990,Asia,Saudi Arabia,5311513.064516129,Summer,Hot climate (>25 C),22.0,37324.49636363636
1945-1990,Africa,Senegal,5258781.806451613,Summer,Hot climate (>25 C),30.571428571428573,1367.800909090909
1945-1990,Africa,Senegal,5258781.806451613,Winter,Hot climate (>25 C),2.0,1367.800909090909
1945-1990,Africa,Seychelles,57512.709677419356,Summer,Hot climate (>25 C),18.0,5857.921818181818
1945-1990,Africa,Sierra Leone,3047766.0967741935,Summer,Hot climate (>25 C),16.5,915.877909090909
1945-1990,Asia,Singapore,2291764.35483871,Summer,Hot climate (>25 C),14.222222222222221,15767.847272727273
1945-1990,Oceania,Solomon Islands,215217.2258064516,Summer,Hot climate (>25 C),4.0,1074.1138181818183
1945-1990,Africa,South Africa,26723668.93548387,Summer,Moderate climate (5 C-25 C),78.5,6224.646363636363
1945-1990,Africa,South Africa,26723668.93548387,Winter,Moderate climate (5 C-25 C),4.0,6224.646363636363
1945-1990,Europe,Spain,35355035.67741936,Summer,Moderate climate (5 C-25 C),153.36363636363637,10950.038181818181
1945-1990,Europe,Spain,35355035.67741936,Winter,Moderate climate (5 C-25 C),16.363636363636363,10950.038181818181
1945-1990,Asia,Sri Lanka,13364421.0,Summer,Hot climate (>25 C),6.0,1660.2345454545457
1945-1990,Africa,Sudan,14640027.064516129,Summer,Hot climate (>25 C),13.6,1329.07
1945-1990,South America,Suriname,364889.32258064515,Summer,Hot climate (>25 C),5.0,6979.22
1945-1990,Europe,Sweden,8101462.387096774,Summer,Cold climate (<=5 C),221.63636363636363,15534.59181818182
1945-1990,Europe,Sweden,8101462.387096774,Winter,Cold climate (<=5 C),96.0,15534.59181818182
1945-1990,Europe,Switzerland,6193322.870967742,Summer,Moderate climate (5 C-25 C),173.54545454545453,24567.18727272727
1945-1990,Europe,Switzerland,6193322.870967742,Winter,Moderate climate (5 C-25 C),82.18181818181819,24567.18727272727
1945-1990,Africa,Tanzania,16815949.16129032,Summer,Moderate climate (5 C-25 C),18.333333333333332,738.3077272727273
1945-1990,Asia,Thailand,40783757.19354839,Summer,Hot climate (>25 C),38.44444444444444,2612.1045454545456
1945-1990,Africa,Togo,2645943.806451613,Summer,Hot climate (>25 C),6.333333333333333,1061.0466363636363
1945-1990,Oceania,Tonga,88610.74193548386,Summer,Hot climate (>25 C),7.0,1693.096090909091
1945-1990,Africa,Tunisia,5977297.677419355,Summer,Moderate climate (5 C-25 C),28.857142857142858,3014.9281818181817
1945-1990,Africa,Uganda,11963322.064516129,Summer,Moderate climate (5 C-25 C),20.625,665.0714545454546
1945-1990,Asia,United Arab Emirates,736158.9677419355,Summer,Hot climate (>25 C),23.5,77947.8690909091
1945-1990,Europe,United Kingdom,55640041.87096774,Summer,Moderate climate (5 C-25 C),398.8181818181818,13255.510909090908
1945-1990,Europe,United Kingdom,55640041.87096774,Winter,Moderate climate (5 C-25 C),67.27272727272727,13255.510909090908
1945-1990,North America,United States,215951838.70967743,Summer,Moderate climate (5 C-25 C),530.7,18070.897272727274
1945-1990,North America,United States,215951838.70967743,Winter,Moderate climate (5 C-25 C),132.54545454545453,18070.897272727274
1945-1990,South America,Uruguay,2854872.64516129,Summer,Moderate climate (5 C-25 C),34.7,5892.279090909091
