Year_Group,continent,Region,Population,Climate,nb_medals,PIB_per_Capita
1945-1990,Europe,Sweden,8101462.387096774,Cold climate (<=5 C),158.8181818181818,15534.59181818182
1945-1990,Europe,Switzerland,6193322.870967742,Moderate climate (5 C-25 C),127.86363636363636,24567.18727272727
1945-1990,Africa,Tanzania,16815949.16129032,Moderate climate (5 C-25 C),18.333333333333332,738.3077272727273
1945-1990,Asia,Thailand,40783757.19354839,Hot climate (>25 C),38.44444444444444,2612.1045454545456
1945-1990,Africa,Togo,2645943.806451613,Hot climate (>25 C),6.333333333333333,1061.0466363636363
1945-1990,Oceania,Tonga,88610.74193548386,Hot climate (>25 C),7.0,1693.096090909091
1945-1990,Africa,Tunisia,5977297.677419355,Moderate climate (5 C-25 C),28.857142857142858,3014.9281818181817
1945-1990,Africa,Uganda,11963322.064516129,Moderate climate (5 C-25 C),20.625,665.0714545454546
1945-1990,Asia,United Arab Emirates,736158.9677419355,Hot climate (>25 C),23.5,77947.8690909091
1945-1990,Europe,United Kingdom,55640041.87096774,Moderate climate (5 C-25 C),233.04545454545453,13255.510909090908
1945-1990,North America,United States,215951838.70967743,Moderate climate (5 C-25 C),322.14285714285717,18070.897272727274
1945-1990,South America,Uruguay,2854872.64516129,Moderate climate (5 C-25 C),34.7,5892.279090909091
1945-1990,Oceania,Vanuatu,102203.25806451614,Moderate climate (5 C-25 C),6.0,1193.7642727272726
1945-1990,Africa,Zambia,5179880.580645162,Moderate climate (5 C-25 C),21.333333333333332,1610.63
1991-2020,Asia,Afghanistan,26646818.363636363,Moderate climate (5 C-25 C),5.857142857142857,1946.9195238095238
1991-2020,Europe,Albania,2994924.9696969697,Moderate climate (5 C-25 C),6.818181818181818,9137.014285714286
1991-2020,Africa,Algeria,35229466.18181818,Moderate climate (5 C-25 C),39.27272727272727,11972.626857142857
1991-2020,Europe,Andorra,72329.45454545454,Moderate climate (5 C-25 C),8.4,57681.330625
1991-2020,Africa,Angola,22194187.848484848,Moderate climate (5 C-25 C),29.625,5274.228571428572
1991-2020,South America,Argentina,39974693.78787879,Moderate climate (5 C-25 C),82.56521739130434,16782.712285714282
1991-2020,Asia,Armenia,3140923.393939394,Moderate climate (5 C-25 C),18.46153846153846,8262.699999999999
1991-2020,North America,Aruba,96089.45454545454,Hot climate (>25 C),4.25,34898.26685714286
1991-2020,Oceania,Australia,21355714.303030305,Moderate climate (5 C-25 C),185.85714285714286,40029.61571428572
1991-2020,Europe,Austria,8343110.454545454,Moderate climate (5 C-25 C),97.03448275862068,42369.49628571429
1991-2020,Asia,Azerbaijan,8763458.969696969,Moderate climate (5 C-25 C),28.166666666666668,10616.613235294117
1991-2020,Asia,Bahrain,1011227.0,Hot climate (>25 C),16.125,46557.073142857145
1991-2020,Asia,Bangladesh,145430553.27272728,Hot climate (>25 C),6.25,3701.1165714285717
1991-2020,North America,Barbados,271091.1212121212,Hot climate (>25 C),15.875,14557.07057142857
1991-2020,Europe,Belarus,9703938.030303031,Moderate climate (5 C-25 C),148.0,13397.327352941176
1991-2020,Europe,Belgium,10753907.454545455,Moderate climate (5 C-25 C),95.46428571428571,40020.412
1991-2020,North America,Belize,295645.2727272727,Hot climate (>25 C),5.125,8339.972857142857
1991-2020,Africa,Benin,9268014.181818182,Hot climate (>25 C),5.625,2440.806
1991-2020,Asia,Bhutan,668878.1212121212,Moderate climate (5 C-25 C),3.5,7129.112571428572
1991-2020,Europe,Bosnia and Herzegovina,3802568.484848485,Moderate climate (5 C-25 C),10.142857142857142,10635.656333333334
1991-2020,Africa,Botswana,1917947.3333333333,Moderate climate (5 C-25 C),9.875,12225.65857142857
1991-2020,South America,Brazil,185974705.0909091,Hot climate (>25 C),148.25,13028.381714285713
1991-2020,Europe,Bulgaria,7627603.2727272725,Moderate climate (5 C-25 C),71.55,15781.027142857141
1991-2020,Africa,Burkina Faso,15325394.0,Hot climate (>25 C),5.25,1456.1476857142857
1991-2020,Africa,Burundi,8786085.06060606,Moderate climate (5 C-25 C),6.571428571428571,652.5319428571428
1991-2020,Asia,Cambodia,13553278.424242424,Hot climate (>25 C),4.571428571428571,3429.913085714286
1991-2020,Africa,Cameroon,18808910.696969695,Moderate climate (5 C-25 C),21.0,2904.8605714285713
1991-2020,North America,Canada,33231111.0,Cold climate (<=5 C),205.83333333333334,39026.46971428571
1991-2020,Africa,Central African Republic,4232345.393939394,Hot climate (>25 C),6.25,861.7622285714285
1991-2020,Africa,Chad,11604938.272727273,Hot climate (>25 C),3.0,1857.9437142857143
1991-2020,South America,Chile,16722709.303030303,Moderate climate (5 C-25 C),26.7,17731.709714285713
1991-2020,Asia,China,1309510000.0,Moderate climate (5 C-25 C),180.0,9362.932285714285
1991-2020,South America,Colombia,42896111.27272727,Moderate climate (5 C-25 C),58.583333333333336,11007.593428571428
1991-2020,Africa,Comoros,630156.696969697,Moderate climate (5 C-25 C),3.142857142857143,2347.9891428571427
