nom,ID,pays,discipline,année,médaille,saison
Anna Katarina Nyberg,174136,Sweden,Curling,1998,1,Winter
Anna Katarina Timglas,240218,Sweden,Ice Hockey,2006,1,Winter
Anna Louise Marmont,150055,Sweden,Curling,1998,1,Winter
Anna Margret Haag (Hansson-),87659,Sweden,Cross Country Skiing,2010,3,Winter
Anna Maria Prytz,193880,Sweden,Curling,2014,1,Winter
Anna Maria Svrd-Le Moine (Bergstrm-),232992,Sweden,Curling,2006,2,Winter
Anna Sloan,222937,Great Britain,Curling,2014,1,Winter
Anna Ulrika Maria Wennerstrm,258967,Sweden,Curling,2014,1,Winter
Anna Viktoria Dahlberg-Olsson,48229,Sweden,Cross Country Skiing,2006,1,Winter
Anna-Carin Helena Cecilia Olofsson-Zidek,176688,Sweden,Biathlon,2006,2,Winter
Anne Briand-Bouthiaux,29064,France,Biathlon,1992,3,Winter
Anne Helin,93655,Finland,Ice Hockey,2010,1,Winter
Anne Kathryn Schleper,213011,United States,Ice Hockey,2014,1,Winter
Anne Maria Kyllnen,130223,Finland,Cross Country Skiing,2014,1,Winter
Anne Marjut Astrid Rolig-Lukkarinen,203437,Finland,Cross Country Skiing,1992,2,Winter
Annelie Ulrica Lindstrm,139993,Sweden,Ice Hockey,2002,1,Winter
Annelise Coberger,42921,New Zealand,Alpine Skiing,1992,1,Winter
Annette Albertine Gerritsen,78448,Netherlands,Speed Skating,2010,1,Winter
Annette Sikveland,219819,Norway,Biathlon,1998,1,Winter
Annica Gunilla hln,2396,Sweden,Ice Hockey,2002,1,Winter
Annie Perreault,186018,Canada,Short Track Speed Skating,1992,3,Winter
Annina Rajahuhta,196094,Finland,Ice Hockey,2010,1,Winter
Anouk Leblanc-Boucher,134372,Canada,Short Track Speed Skating,2006,2,Winter
Anssi Einar Koivuranta,122746,Finland,Nordic Combined,2006,1,Winter
Antero Pertti Elias Niittymki,171476,Finland,Ice Hockey,2006,1,Winter
Anthon Grimsmo,84710,Norway,Curling,1998,1,Winter
"Anthony Lewis ""Tony"" Amonte",6214,United States,Ice Hockey,2002,1,Winter
Antje Misersky-Harvey,160076,Germany,Biathlon,1992,4,Winter
Antoine Dnriaz,53727,France,Alpine Skiing,2006,1,Winter
Anton Sergeyevich Kushnir,129580,Belarus,Freestyle Skiing,2014,1,Winter
Anton Tarielyevich Sikharulidze,219770,Russia-2,Figure Skating,1998,2,Winter
Anton Vladimirovich Shipulin,218736,Russia,Biathlon,2010,2,Winter
Antonella Confortola-Wyatt,43976,Italy,Cross Country Skiing,2006,1,Winter
Antonio Tartaglia,236661,Italy-1,Bobsleigh,1998,1,Winter
Antti Akseli Laaksonen,130349,Finland,Ice Hockey,2006,1,Winter
Antti Ilari Trmnen,241927,Finland,Ice Hockey,1998,1,Winter
Antti Markus Miettinen,158384,Finland,Ice Hockey,2010,1,Winter
Antti Sakari Kuisma,128613,Finland,Nordic Combined,2006,1,Winter
Antti Sakari Pihlstrm,188745,Finland,Ice Hockey,2014,1,Winter
Antti-Jussi Jormanpoika Niemi,171283,Finland,Ice Hockey,2006,1,Winter
Anzhelika Alekseyevna Krylova,127837,Russia-2,Figure Skating,1998,1,Winter
Apolo Anton Ohno,175654,United States,Short Track Speed Skating,2002,8,Winter
Ari Juhani Sulander,231877,Finland,Ice Hockey,1998,1,Winter
Ari-Pekka Nikkola,171598,Finland,Ski Jumping,1992,1,Winter
Arianna Fernanda Follis,70893,Italy,Cross Country Skiing,2006,1,Winter
Arianna Fontana,71012,Italy,Short Track Speed Skating,2006,5,Winter
Armin Zggeler,270255,Italy,Luge,1994,6,Winter
Arnaud Bovolenta,27426,France,Freestyle Skiing,2014,1,Winter
Arnd Peiffer,184554,Germany,Biathlon,2014,1,Winter
Arne Dankers,49084,Canada,Speed Skating,2006,1,Winter
Artur Valeryevich Dmitriyev,56409,Unified Team-1,Figure Skating,1992,3,Winter
Arvis Vilkaste,252796,Latvia-1,Bobsleigh,2014,1,Winter
Ashleigh McIvor (-DeMerit),154667,Canada,Freestyle Skiing,2010,1,Winter
Ashley Elisabeth Wagner,255407,United States,Figure Skating,2014,1,Winter
Atina Ford (Johnston-),71132,Canada,Curling,1998,1,Winter
Audun Grnvold,85607,Norway,Freestyle Skiing,2010,1,Winter
"Augustus Richard ""Gus"" Kenworthy",116022,United States,Freestyle Skiing,2014,1,Winter
Axel Khn,128505,Germany-1,Bobsleigh,1992,1,Winter
Axel Teichmann,237346,Germany,Cross Country Skiing,2010,2,Winter
Ayana Onozuka,177485,Japan,Freestyle Skiing,2014,1,Winter
Ayumu Hirano,96286,Japan,Snowboarding,2014,1,Winter
"Barbara ""Babsi"" Niedernhuber",170958,Germany,Luge,1998,2,Winter
Barbara Fusar Poli,74273,Italy-1,Figure Skating,2002,1,Winter
Bart Veldkamp,251057,Netherlands,Speed Skating,1992,3,Winter
Beat Hefti,93068,Switzerland-2,Bobsleigh,2002,4,Winter
Beat Seitz,215832,Switzerland-1,Bobsleigh,1998,1,Winter
Bedich erban,212121,Czechoslovakia,Ice Hockey,1992,1,Winter
Bengt Fredrik Lindberg,139510,Sweden,Curling,2014,1,Winter
Bengt Tomas Holmstrm,97878,Sweden,Ice Hockey,2006,1,Winter
"Benjamin ""Ben"" Hebert",92806,Canada,Curling,2010,1,Winter
"Benjamin Alexandro ""Ben"" Agosto",2138,United States-1,Figure Skating,2006,1,Winter
Benjamin Martin Karl,113678,Austria,Snowboarding,2010,2,Winter
Benjamin Raich,195964,Austria,Alpine Skiing,2002,4,Winter
Bent nund Ramsfjell,196752,Norway,Curling,2002,1,Winter
Bente Skari-Martinsen,222061,Norway,Cross Country Skiing,1998,5,Winter
Bernhard Gruber,85316,Austria,Nordic Combined,2010,3,Winter
Bice Vanzetta,249939,Italy,Cross Country Skiing,1992,2,Winter
Bill Schuffenhauer,214324,United States-1,Bobsleigh,2002,1,Winter
Binia Beeli (-Feltscher),17513,Switzerland,Curling,2006,1,Winter
Bjarte Engen Vik,252609,Norway,Nordic Combined,1994,4,Winter
Bjrn Einar Romren,203916,Norway,Ski Jumping,2006,1,Winter
Bjrn Henrik Lundqvist,144141,Sweden,Ice Hockey,2006,2,Winter
Bjrn Johan Lind,139440,Sweden,Cross Country Skiing,2006,2,Winter
Bjrn Kircheisen,119797,Germany,Nordic Combined,2002,4,Winter
Bjrn Lars Johannes Erik Ferry,68706,Sweden,Biathlon,2010,1,Winter
Blanca Fernndez Ochoa,68318,Spain,Alpine Skiing,1992,1,Winter
Bo Leif Andersson,7042,Sweden,Biathlon,1992,1,Winter
Bob Johannes Carolus de Jong,50959,Netherlands,Speed Skating,1998,4,Winter
Bogdan Musiol,166591,Germany-1,Bobsleigh,1992,1,Winter
Bonnie Kathleen Blair (-Cruikshank),22921,United States,Speed Skating,1992,4,Winter
Boris Olegovich Mironov,159991,Russia,Ice Hockey,1998,2,Winter
"Bradley ""Brad"" Jacobs",105065,Canada,Curling,2014,1,Winter
