nom,ID,pays,discipline,année,médaille,saison
Anders Aukland,10946,Norway,Cross Country Skiing,2002,1,Winter
Anders Bardal,14512,Norway,Ski Jumping,2010,2,Winter
Anders Gunnar Samuelsson,209278,Sweden,Cross Country Skiing,1956,1,Winter
Anders Jacobsen,105112,Norway,Ski Jumping,2010,1,Winter
Anders Niclas Hvelid,92239,Sweden,Ice Hockey,2006,1,Winter
Anders Olsen Haugen,92016,United States,Ski Jumping,1924,1,Winter
Anders Patrik Berglund,19950,Sweden,Ice Hockey,2014,1,Winter
Anders Per-Johan Axelsson,11299,Sweden,Ice Hockey,2006,1,Winter
Andr Filippini,69354,Switzerland-1,Bobsleigh,1952,1,Winter
Andr Florschtz,70597,Germany-1,Luge,2006,1,Winter
Andr Hoffmann,97044,East Germany,Speed Skating,1988,1,Winter
Andr Lange,131975,Germany-2,Bobsleigh,2002,5,Winter
Andre Marguerite Blanche Brunet-Joly,30621,France-1,Figure Skating,1924,3,Winter
Andre Peter Gambucci,75325,United States,Ice Hockey,1952,1,Winter
Andrea Bario Mead-Lawrence,155335,United States,Alpine Skiing,1952,2,Winter
Andrea Ehrig-Schne-Mitscherlich,61847,East Germany,Speed Skating,1976,7,Winter
Andrea Fischbacher,69655,Austria,Alpine Skiing,2010,1,Winter
Andrea Henkel (-Burke),94081,Germany,Biathlon,2002,4,Winter
Andrea Huber,100195,Switzerland,Cross Country Skiing,2002,1,Winter
Andrea Kilbourne (-Hill),117992,United States,Ice Hockey,2002,1,Winter
Andrea Kkesy (-Bernolk),115381,Hungary-1,Figure Skating,1948,1,Winter
Andrea Tagwerker,234903,Austria,Luge,1994,1,Winter
"Andreas ""Anderl"" Molterer",161870,Austria,Alpine Skiing,1956,2,Winter
"Andreas ""Anderl"" Ostler",178766,Germany-1,Bobsleigh,1952,2,Winter
"Andreas ""Andi"" Goldberger",80954,Austria,Ski Jumping,1994,2,Winter
"Andreas ""Andi"" Grnenfelder",85462,Switzerland,Cross Country Skiing,1988,1,Winter
"Andreas ""Andi"" Schwaller",214762,Switzerland,Curling,2002,1,Winter
"Andreas ""Andi"" Wenzel",258994,Liechtenstein,Alpine Skiing,1980,2,Winter
"Andreas ""Sonny"" Schnbchler",213891,Switzerland,Freestyle Skiing,1994,1,Winter
Andreas Felder,67537,Austria,Ski Jumping,1992,1,Winter
